Time,ILLC Electricity (kWh)
Tue Mar 10 2020 00:00:00 GMT-0700 (Pacific Daylight Time),57
Mon Mar 09 2020 23:45:00 GMT-0700 (Pacific Daylight Time),42
Mon Mar 09 2020 23:30:00 GMT-0700 (Pacific Daylight Time),51
Mon Mar 09 2020 23:15:00 GMT-0700 (Pacific Daylight Time),64
Mon Mar 09 2020 23:00:00 GMT-0700 (Pacific Daylight Time),53
Mon Mar 09 2020 22:45:00 GMT-0700 (Pacific Daylight Time),49
Mon Mar 09 2020 22:30:00 GMT-0700 (Pacific Daylight Time),45
Mon Mar 09 2020 22:15:00 GMT-0700 (Pacific Daylight Time),53
Mon Mar 09 2020 22:00:00 GMT-0700 (Pacific Daylight Time),55
Mon Mar 09 2020 21:45:00 GMT-0700 (Pacific Daylight Time),55
Mon Mar 09 2020 21:30:00 GMT-0700 (Pacific Daylight Time),75
Mon Mar 09 2020 21:15:00 GMT-0700 (Pacific Daylight Time),56
Mon Mar 09 2020 21:00:00 GMT-0700 (Pacific Daylight Time),48
Mon Mar 09 2020 20:45:00 GMT-0700 (Pacific Daylight Time),65
Mon Mar 09 2020 20:30:00 GMT-0700 (Pacific Daylight Time),60
Mon Mar 09 2020 20:15:00 GMT-0700 (Pacific Daylight Time),60
Mon Mar 09 2020 20:00:00 GMT-0700 (Pacific Daylight Time),53
Mon Mar 09 2020 19:45:00 GMT-0700 (Pacific Daylight Time),46
Mon Mar 09 2020 19:30:00 GMT-0700 (Pacific Daylight Time),51
Mon Mar 09 2020 19:15:00 GMT-0700 (Pacific Daylight Time),59
Mon Mar 09 2020 19:00:00 GMT-0700 (Pacific Daylight Time),61
Mon Mar 09 2020 18:45:00 GMT-0700 (Pacific Daylight Time),48
Mon Mar 09 2020 18:30:00 GMT-0700 (Pacific Daylight Time),41
Mon Mar 09 2020 18:15:00 GMT-0700 (Pacific Daylight Time),54
Mon Mar 09 2020 18:00:00 GMT-0700 (Pacific Daylight Time),61
Mon Mar 09 2020 17:45:00 GMT-0700 (Pacific Daylight Time),60
Mon Mar 09 2020 17:30:00 GMT-0700 (Pacific Daylight Time),45
Mon Mar 09 2020 17:15:00 GMT-0700 (Pacific Daylight Time),44
Mon Mar 09 2020 17:00:00 GMT-0700 (Pacific Daylight Time),54
Mon Mar 09 2020 16:45:00 GMT-0700 (Pacific Daylight Time),62
Mon Mar 09 2020 16:30:00 GMT-0700 (Pacific Daylight Time),61
Mon Mar 09 2020 16:15:00 GMT-0700 (Pacific Daylight Time),53
Mon Mar 09 2020 16:00:00 GMT-0700 (Pacific Daylight Time),56
Mon Mar 09 2020 15:45:00 GMT-0700 (Pacific Daylight Time),48
Mon Mar 09 2020 15:30:00 GMT-0700 (Pacific Daylight Time),55
Mon Mar 09 2020 15:15:00 GMT-0700 (Pacific Daylight Time),63
Mon Mar 09 2020 15:00:00 GMT-0700 (Pacific Daylight Time),58
Mon Mar 09 2020 14:45:00 GMT-0700 (Pacific Daylight Time),47
Mon Mar 09 2020 14:30:00 GMT-0700 (Pacific Daylight Time),47
Mon Mar 09 2020 14:15:00 GMT-0700 (Pacific Daylight Time),51
Mon Mar 09 2020 14:00:00 GMT-0700 (Pacific Daylight Time),53
Mon Mar 09 2020 13:45:00 GMT-0700 (Pacific Daylight Time),68
Mon Mar 09 2020 13:30:00 GMT-0700 (Pacific Daylight Time),63
Mon Mar 09 2020 13:15:00 GMT-0700 (Pacific Daylight Time),63
Mon Mar 09 2020 13:00:00 GMT-0700 (Pacific Daylight Time),59
Mon Mar 09 2020 12:45:00 GMT-0700 (Pacific Daylight Time),59
Mon Mar 09 2020 12:30:00 GMT-0700 (Pacific Daylight Time),58
Mon Mar 09 2020 12:15:00 GMT-0700 (Pacific Daylight Time),61
Mon Mar 09 2020 12:00:00 GMT-0700 (Pacific Daylight Time),69
Mon Mar 09 2020 11:45:00 GMT-0700 (Pacific Daylight Time),61
Mon Mar 09 2020 11:30:00 GMT-0700 (Pacific Daylight Time),56
Mon Mar 09 2020 11:15:00 GMT-0700 (Pacific Daylight Time),56
Mon Mar 09 2020 11:00:00 GMT-0700 (Pacific Daylight Time),62
Mon Mar 09 2020 10:45:00 GMT-0700 (Pacific Daylight Time),64
Mon Mar 09 2020 10:30:00 GMT-0700 (Pacific Daylight Time),60
Mon Mar 09 2020 10:15:00 GMT-0700 (Pacific Daylight Time),63
Mon Mar 09 2020 10:00:00 GMT-0700 (Pacific Daylight Time),62
Mon Mar 09 2020 09:45:00 GMT-0700 (Pacific Daylight Time),67
Mon Mar 09 2020 09:30:00 GMT-0700 (Pacific Daylight Time),63
Mon Mar 09 2020 09:15:00 GMT-0700 (Pacific Daylight Time),66
Mon Mar 09 2020 09:00:00 GMT-0700 (Pacific Daylight Time),48
Mon Mar 09 2020 08:45:00 GMT-0700 (Pacific Daylight Time),55
Mon Mar 09 2020 08:30:00 GMT-0700 (Pacific Daylight Time),46
Mon Mar 09 2020 08:15:00 GMT-0700 (Pacific Daylight Time),64
Mon Mar 09 2020 08:00:00 GMT-0700 (Pacific Daylight Time),59
Mon Mar 09 2020 07:45:00 GMT-0700 (Pacific Daylight Time),53
Mon Mar 09 2020 07:30:00 GMT-0700 (Pacific Daylight Time),46
Mon Mar 09 2020 07:15:00 GMT-0700 (Pacific Daylight Time),43
Mon Mar 09 2020 07:00:00 GMT-0700 (Pacific Daylight Time),48
Mon Mar 09 2020 06:45:00 GMT-0700 (Pacific Daylight Time),44
Mon Mar 09 2020 06:30:00 GMT-0700 (Pacific Daylight Time),32
Mon Mar 09 2020 06:15:00 GMT-0700 (Pacific Daylight Time),32
Mon Mar 09 2020 06:00:00 GMT-0700 (Pacific Daylight Time),46
Mon Mar 09 2020 05:45:00 GMT-0700 (Pacific Daylight Time),45
Mon Mar 09 2020 05:30:00 GMT-0700 (Pacific Daylight Time),35
Mon Mar 09 2020 05:15:00 GMT-0700 (Pacific Daylight Time),27
Mon Mar 09 2020 05:00:00 GMT-0700 (Pacific Daylight Time),40
Mon Mar 09 2020 04:45:00 GMT-0700 (Pacific Daylight Time),43
Mon Mar 09 2020 04:30:00 GMT-0700 (Pacific Daylight Time),37
Mon Mar 09 2020 04:15:00 GMT-0700 (Pacific Daylight Time),28
Mon Mar 09 2020 04:00:00 GMT-0700 (Pacific Daylight Time),44
Mon Mar 09 2020 03:45:00 GMT-0700 (Pacific Daylight Time),43
Mon Mar 09 2020 03:30:00 GMT-0700 (Pacific Daylight Time),28
Mon Mar 09 2020 03:15:00 GMT-0700 (Pacific Daylight Time),41
Mon Mar 09 2020 03:00:00 GMT-0700 (Pacific Daylight Time),46
Mon Mar 09 2020 02:45:00 GMT-0700 (Pacific Daylight Time),41
Mon Mar 09 2020 02:30:00 GMT-0700 (Pacific Daylight Time),32
Mon Mar 09 2020 02:15:00 GMT-0700 (Pacific Daylight Time),41
Mon Mar 09 2020 02:00:00 GMT-0700 (Pacific Daylight Time),48
Mon Mar 09 2020 01:45:00 GMT-0700 (Pacific Daylight Time),40
Mon Mar 09 2020 01:30:00 GMT-0700 (Pacific Daylight Time),65
Mon Mar 09 2020 01:15:00 GMT-0700 (Pacific Daylight Time),48
Mon Mar 09 2020 01:00:00 GMT-0700 (Pacific Daylight Time),37
Mon Mar 09 2020 00:45:00 GMT-0700 (Pacific Daylight Time),33
Mon Mar 09 2020 00:30:00 GMT-0700 (Pacific Daylight Time),51
Mon Mar 09 2020 00:15:00 GMT-0700 (Pacific Daylight Time),54
Mon Mar 09 2020 00:00:00 GMT-0700 (Pacific Daylight Time),41
Sun Mar 08 2020 23:45:00 GMT-0700 (Pacific Daylight Time),47
Sun Mar 08 2020 23:30:00 GMT-0700 (Pacific Daylight Time),54
Sun Mar 08 2020 23:15:00 GMT-0700 (Pacific Daylight Time),66
Sun Mar 08 2020 23:00:00 GMT-0700 (Pacific Daylight Time),54
Sun Mar 08 2020 22:45:00 GMT-0700 (Pacific Daylight Time),64
Sun Mar 08 2020 22:30:00 GMT-0700 (Pacific Daylight Time),56
Sun Mar 08 2020 22:15:00 GMT-0700 (Pacific Daylight Time),60
Sun Mar 08 2020 22:00:00 GMT-0700 (Pacific Daylight Time),61
Sun Mar 08 2020 21:45:00 GMT-0700 (Pacific Daylight Time),69
Sun Mar 08 2020 21:30:00 GMT-0700 (Pacific Daylight Time),69
Sun Mar 08 2020 21:15:00 GMT-0700 (Pacific Daylight Time),60
Sun Mar 08 2020 21:00:00 GMT-0700 (Pacific Daylight Time),55
Sun Mar 08 2020 20:45:00 GMT-0700 (Pacific Daylight Time),58
Sun Mar 08 2020 20:30:00 GMT-0700 (Pacific Daylight Time),50
Sun Mar 08 2020 20:15:00 GMT-0700 (Pacific Daylight Time),65
Sun Mar 08 2020 20:00:00 GMT-0700 (Pacific Daylight Time),55
Sun Mar 08 2020 19:45:00 GMT-0700 (Pacific Daylight Time),50
Sun Mar 08 2020 19:30:00 GMT-0700 (Pacific Daylight Time),49
Sun Mar 08 2020 19:15:00 GMT-0700 (Pacific Daylight Time),52
Sun Mar 08 2020 19:00:00 GMT-0700 (Pacific Daylight Time),66
Sun Mar 08 2020 18:45:00 GMT-0700 (Pacific Daylight Time),51
Sun Mar 08 2020 18:30:00 GMT-0700 (Pacific Daylight Time),52
Sun Mar 08 2020 18:15:00 GMT-0700 (Pacific Daylight Time),54
Sun Mar 08 2020 18:00:00 GMT-0700 (Pacific Daylight Time),65
Sun Mar 08 2020 17:45:00 GMT-0700 (Pacific Daylight Time),57
Sun Mar 08 2020 17:30:00 GMT-0700 (Pacific Daylight Time),49
Sun Mar 08 2020 17:15:00 GMT-0700 (Pacific Daylight Time),46
Sun Mar 08 2020 17:00:00 GMT-0700 (Pacific Daylight Time),50
Sun Mar 08 2020 16:45:00 GMT-0700 (Pacific Daylight Time),56
Sun Mar 08 2020 16:30:00 GMT-0700 (Pacific Daylight Time),55
Sun Mar 08 2020 16:15:00 GMT-0700 (Pacific Daylight Time),55
Sun Mar 08 2020 16:00:00 GMT-0700 (Pacific Daylight Time),57
Sun Mar 08 2020 15:45:00 GMT-0700 (Pacific Daylight Time),50
Sun Mar 08 2020 15:30:00 GMT-0700 (Pacific Daylight Time),56
Sun Mar 08 2020 15:15:00 GMT-0700 (Pacific Daylight Time),56
Sun Mar 08 2020 15:00:00 GMT-0700 (Pacific Daylight Time),54
Sun Mar 08 2020 14:45:00 GMT-0700 (Pacific Daylight Time),62
Sun Mar 08 2020 14:30:00 GMT-0700 (Pacific Daylight Time),58
Sun Mar 08 2020 14:15:00 GMT-0700 (Pacific Daylight Time),47
Sun Mar 08 2020 14:00:00 GMT-0700 (Pacific Daylight Time),55
Sun Mar 08 2020 13:45:00 GMT-0700 (Pacific Daylight Time),63
Sun Mar 08 2020 13:30:00 GMT-0700 (Pacific Daylight Time),57
Sun Mar 08 2020 13:15:00 GMT-0700 (Pacific Daylight Time),57
Sun Mar 08 2020 13:00:00 GMT-0700 (Pacific Daylight Time),50
Sun Mar 08 2020 12:45:00 GMT-0700 (Pacific Daylight Time),57
Sun Mar 08 2020 12:30:00 GMT-0700 (Pacific Daylight Time),65
Sun Mar 08 2020 12:15:00 GMT-0700 (Pacific Daylight Time),56
