Time,Johnson Hall Electricity (kWh)
Tue Mar 10 2020 00:00:00 GMT-0700 (Pacific Daylight Time),45
Mon Mar 09 2020 23:45:00 GMT-0700 (Pacific Daylight Time),45
Mon Mar 09 2020 23:30:00 GMT-0700 (Pacific Daylight Time),43
Mon Mar 09 2020 23:15:00 GMT-0700 (Pacific Daylight Time),44
Mon Mar 09 2020 23:00:00 GMT-0700 (Pacific Daylight Time),42
Mon Mar 09 2020 22:45:00 GMT-0700 (Pacific Daylight Time),44
Mon Mar 09 2020 22:30:00 GMT-0700 (Pacific Daylight Time),43
Mon Mar 09 2020 22:15:00 GMT-0700 (Pacific Daylight Time),43
Mon Mar 09 2020 22:00:00 GMT-0700 (Pacific Daylight Time),45
Mon Mar 09 2020 21:45:00 GMT-0700 (Pacific Daylight Time),45
Mon Mar 09 2020 21:30:00 GMT-0700 (Pacific Daylight Time),44
Mon Mar 09 2020 21:15:00 GMT-0700 (Pacific Daylight Time),43
Mon Mar 09 2020 21:00:00 GMT-0700 (Pacific Daylight Time),46
Mon Mar 09 2020 20:45:00 GMT-0700 (Pacific Daylight Time),46
Mon Mar 09 2020 20:30:00 GMT-0700 (Pacific Daylight Time),45
Mon Mar 09 2020 20:15:00 GMT-0700 (Pacific Daylight Time),45
Mon Mar 09 2020 20:00:00 GMT-0700 (Pacific Daylight Time),46
Mon Mar 09 2020 19:45:00 GMT-0700 (Pacific Daylight Time),46
Mon Mar 09 2020 19:30:00 GMT-0700 (Pacific Daylight Time),47
Mon Mar 09 2020 19:15:00 GMT-0700 (Pacific Daylight Time),46
Mon Mar 09 2020 19:00:00 GMT-0700 (Pacific Daylight Time),47
Mon Mar 09 2020 18:45:00 GMT-0700 (Pacific Daylight Time),47
Mon Mar 09 2020 18:30:00 GMT-0700 (Pacific Daylight Time),47
Mon Mar 09 2020 18:15:00 GMT-0700 (Pacific Daylight Time),47
Mon Mar 09 2020 18:00:00 GMT-0700 (Pacific Daylight Time),47
Mon Mar 09 2020 17:45:00 GMT-0700 (Pacific Daylight Time),47
Mon Mar 09 2020 17:30:00 GMT-0700 (Pacific Daylight Time),49
Mon Mar 09 2020 17:15:00 GMT-0700 (Pacific Daylight Time),49
Mon Mar 09 2020 17:00:00 GMT-0700 (Pacific Daylight Time),50
Mon Mar 09 2020 16:45:00 GMT-0700 (Pacific Daylight Time),50
Mon Mar 09 2020 16:30:00 GMT-0700 (Pacific Daylight Time),51
Mon Mar 09 2020 16:15:00 GMT-0700 (Pacific Daylight Time),51
Mon Mar 09 2020 16:00:00 GMT-0700 (Pacific Daylight Time),50
Mon Mar 09 2020 15:45:00 GMT-0700 (Pacific Daylight Time),50
Mon Mar 09 2020 15:30:00 GMT-0700 (Pacific Daylight Time),52
Mon Mar 09 2020 15:15:00 GMT-0700 (Pacific Daylight Time),52
Mon Mar 09 2020 15:00:00 GMT-0700 (Pacific Daylight Time),51
Mon Mar 09 2020 14:45:00 GMT-0700 (Pacific Daylight Time),52
Mon Mar 09 2020 14:30:00 GMT-0700 (Pacific Daylight Time),53
Mon Mar 09 2020 14:15:00 GMT-0700 (Pacific Daylight Time),52
Mon Mar 09 2020 14:00:00 GMT-0700 (Pacific Daylight Time),53
Mon Mar 09 2020 13:45:00 GMT-0700 (Pacific Daylight Time),52
Mon Mar 09 2020 13:30:00 GMT-0700 (Pacific Daylight Time),52
Mon Mar 09 2020 13:15:00 GMT-0700 (Pacific Daylight Time),52
Mon Mar 09 2020 13:00:00 GMT-0700 (Pacific Daylight Time),51
