"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","PRCP","PRCP_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USW00004236","CORVALLIS 10 SSW, OR US","44.4185","-123.3257","95.1","2018-06-01","0.00",",,R","72",",,R","37",",,R"
"USW00004236","CORVALLIS 10 SSW, OR US","44.4185","-123.3257","95.1","2018-06-02","0.00",",,R","80",",,R","42",",,R"
"USW00004236","CORVALLIS 10 SSW, OR US","44.4185","-123.3257","95.1","2018-06-03","0.00",",,R","72",",,R","46",",,R"
"USW00004236","CORVALLIS 10 SSW, OR US","44.4185","-123.3257","95.1","2018-06-04","0.00",",,R","68",",,R","44",",,R"
"USW00004236","CORVALLIS 10 SSW, OR US","44.4185","-123.3257","95.1","2018-06-05","0.00",",,R","73",",,R","39",",,R"
"USW00004236","CORVALLIS 10 SSW, OR US","44.4185","-123.3257","95.1","2018-06-06","0.00",",,R","75",",,R","41",",,R"
"USW00004236","CORVALLIS 10 SSW, OR US","44.4185","-123.3257","95.1","2018-06-07","0.00",",,R","71",",,R","47",",,R"
"USW00004236","CORVALLIS 10 SSW, OR US","44.4185","-123.3257","95.1","2018-06-08","0.11",",,R","67",",,R","46",",,R"
"USW00004236","CORVALLIS 10 SSW, OR US","44.4185","-123.3257","95.1","2018-06-09","0.28",",,R","61",",,R","45",",,R"
"USW00004236","CORVALLIS 10 SSW, OR US","44.4185","-123.3257","95.1","2018-06-10","0.23",",,R","58",",,R","45",",,R"
"USW00004236","CORVALLIS 10 SSW, OR US","44.4185","-123.3257","95.1","2018-06-11","0.12",",,R","71",",,R","50",",,R"
"USW00004236","CORVALLIS 10 SSW, OR US","44.4185","-123.3257","95.1","2018-06-12","0.00",",,R","81",",,R","42",",,R"
"USW00004236","CORVALLIS 10 SSW, OR US","44.4185","-123.3257","95.1","2018-06-13","0.00",",,R","64",",,R","48",",,R"
"USW00004236","CORVALLIS 10 SSW, OR US","44.4185","-123.3257","95.1","2018-06-14","0.00",",,R","69",",,R","49",",,R"
"USW00004236","CORVALLIS 10 SSW, OR US","44.4185","-123.3257","95.1","2018-06-15","0.00",",,R","70",",,R","46",",,R"
"USW00004236","CORVALLIS 10 SSW, OR US","44.4185","-123.3257","95.1","2018-06-16","0.00",",,R","75",",,R","51",",,R"
"USW00004236","CORVALLIS 10 SSW, OR US","44.4185","-123.3257","95.1","2018-06-17","0.00",",,R","87",",,R","52",",,R"
"USW00004236","CORVALLIS 10 SSW, OR US","44.4185","-123.3257","95.1","2018-06-18","0.00",",,R","84",",,R","51",",,R"
"USW00004236","CORVALLIS 10 SSW, OR US","44.4185","-123.3257","95.1","2018-06-19","0.00",",,R","89",",,R","49",",,R"
"USW00004236","CORVALLIS 10 SSW, OR US","44.4185","-123.3257","95.1","2018-06-20","0.00",",,R","83",",,R","53",",,R"
"USW00004236","CORVALLIS 10 SSW, OR US","44.4185","-123.3257","95.1","2018-06-21","0.00",",,R","74",",,R","53",",,R"
"USW00004236","CORVALLIS 10 SSW, OR US","44.4185","-123.3257","95.1","2018-06-22","0.00",",,R","76",",,R","50",",,R"
"USW00004236","CORVALLIS 10 SSW, OR US","44.4185","-123.3257","95.1","2018-06-23","0.00",",,R","77",",,R","54",",,R"
"USW00004236","CORVALLIS 10 SSW, OR US","44.4185","-123.3257","95.1","2018-06-24","0.00",",,R","89",",,R","54",",,R"
"USW00004236","CORVALLIS 10 SSW, OR US","44.4185","-123.3257","95.1","2018-06-25","0.00",",,R","71",",,R","48",",,R"
"USW00004236","CORVALLIS 10 SSW, OR US","44.4185","-123.3257","95.1","2018-06-26","0.00",",,R","75",",,R","42",",,R"
"USW00004236","CORVALLIS 10 SSW, OR US","44.4185","-123.3257","95.1","2018-06-27","0.01",",,R","77",",,R","46",",,R"
"USW00004236","CORVALLIS 10 SSW, OR US","44.4185","-123.3257","95.1","2018-06-28","0.00",",,R","75",",,R","43",",,R"
"USW00004236","CORVALLIS 10 SSW, OR US","44.4185","-123.3257","95.1","2018-06-29","0.00",",,R","81",",,R","44",",,R"
"USW00004236","CORVALLIS 10 SSW, OR US","44.4185","-123.3257","95.1","2018-06-30","0.00",",,R","83",",,R","48",",,R"
"USW00004236","CORVALLIS 10 SSW, OR US","44.4185","-123.3257","95.1","2018-07-01","0.00",",,R","80",",,R","53",",,R"
"USW00004236","CORVALLIS 10 SSW, OR US","44.4185","-123.3257","95.1","2018-07-02","0.00",",,R","72",",,R","47",",,R"
"USW00004236","CORVALLIS 10 SSW, OR US","44.4185","-123.3257","95.1","2018-07-03","0.00",",,R","76",",,R","41",",,R"
"USW00004236","CORVALLIS 10 SSW, OR US","44.4185","-123.3257","95.1","2018-07-04","0.00",",,R","75",",,R","55",",,R"
"USW00004236","CORVALLIS 10 SSW, OR US","44.4185","-123.3257","95.1","2018-07-05","0.00",",,R","86",",,R","50",",,R"
"USW00004236","CORVALLIS 10 SSW, OR US","44.4185","-123.3257","95.1","2018-07-06","0.00",",,R","77",",,R","52",",,R"
"USW00004236","CORVALLIS 10 SSW, OR US","44.4185","-123.3257","95.1","2018-07-07","0.00",",,R","80",",,R","47",",,R"
"USW00004236","CORVALLIS 10 SSW, OR US","44.4185","-123.3257","95.1","2018-07-08","0.00",",,R","81",",,R","48",",,R"
"USW00004236","CORVALLIS 10 SSW, OR US","44.4185","-123.3257","95.1","2018-07-09","0.00",",,R","71",",,R","49",",,R"
"USW00004236","CORVALLIS 10 SSW, OR US","44.4185","-123.3257","95.1","2018-07-10","0.00",",,R","79",",,R","50",",,R"
"USW00004236","CORVALLIS 10 SSW, OR US","44.4185","-123.3257","95.1","2018-07-11","0.00",",,R","87",",,R","56",",,R"
"USW00004236","CORVALLIS 10 SSW, OR US","44.4185","-123.3257","95.1","2018-07-12","0.00",",,R","97",",,R","58",",,R"
"USW00004236","CORVALLIS 10 SSW, OR US","44.4185","-123.3257","95.1","2018-07-13","0.00",",,R","93",",,R","56",",,R"
"USW00004236","CORVALLIS 10 SSW, OR US","44.4185","-123.3257","95.1","2018-07-14","0.00",",,R","92",",,R","50",",,R"
"USW00004236","CORVALLIS 10 SSW, OR US","44.4185","-123.3257","95.1","2018-07-15","0.00",",,R","97",",,R","55",",,R"
"USW00004236","CORVALLIS 10 SSW, OR US","44.4185","-123.3257","95.1","2018-07-16","0.00",",,R","95",",,R","54",",,R"
"USW00004236","CORVALLIS 10 SSW, OR US","44.4185","-123.3257","95.1","2018-07-17","0.00",",,R","88",",,R","51",",,R"
